service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GN6 NOSCHMF,0,0,0,0,0,0,0,20151220,20160514
Y5 MF,0,0,0,0,0,0,0,20151220,20160514
R3 MF,0,0,0,0,0,0,0,20151220,20160514
O3 MF,0,0,0,0,0,0,0,20151220,20160514
I1UISU,0,0,0,0,0,0,0,20151220,20160514
I2-2 UIF,0,0,0,0,0,0,0,20151220,20160514
GN5SA,0,0,0,0,0,0,0,20151220,20160514
I1 NONUIMF,0,0,0,0,0,0,0,20151220,20160514
BB1 MF,0,0,0,0,0,0,0,20151220,20160514
P2 SCHMF,0,0,0,0,0,0,0,20151220,20160514
T2UISU,0,0,0,0,0,0,0,20151220,20160514
B3 SCH MTTF,0,0,0,0,0,0,0,20151220,20160514
7W SHOW #2 SCH WED,0,0,0,0,0,0,0,20151220,20160514
Y5NONUISA,0,0,0,0,0,0,0,20151220,20160514
Y5UISA,0,0,0,0,0,0,0,20151220,20160514
7W / 5E #2 WED,0,0,0,0,0,0,0,20151220,20160514
GN1 MF,0,0,0,0,0,0,0,20151220,20160514
Y2UISU,0,0,0,0,0,0,0,20151220,20160514
I5UISA,0,0,0,0,0,0,0,20151220,20160514
G2 MF,0,0,0,0,0,0,0,20151220,20160514
5E / 8BZ WED,0,0,0,0,0,0,0,20151220,20160514
L2 MF EV,0,0,0,0,0,0,0,20151220,20160514
T2UISA,0,0,0,0,0,0,0,20151220,20160514
I6UISA,0,0,0,0,0,0,0,20151220,20160514
GNX2 MF,0,0,0,0,0,0,0,20151220,20160514
SV4 SCHNOUIMF,0,0,0,0,0,0,0,20151220,20160514
Y3 NONUIMF EV,0,0,0,0,0,0,0,20151220,20160514
1S SHOW WED,0,0,0,0,0,0,0,20151220,20160514
3S/7W SHOW#2 WED,0,0,0,0,0,0,0,20151220,20160514
Y1SA,0,0,0,0,0,0,0,20151220,20160514
5E #2 WED ONLY,0,0,0,0,0,0,0,20151220,20160514
N2 MF,0,0,0,0,0,0,0,20151220,20160514
LM1SU,0,0,0,0,0,0,0,20151220,20160514
I5UISU,0,0,0,0,0,0,0,20151220,20160514
T3 NONUIMF,0,0,0,0,0,0,0,20151220,20160514
SV1NONUISA,0,0,0,0,0,0,0,20151220,20160514
7E SHOW#1 WED,0,0,0,0,0,0,0,20151220,20160514
I2 UIMTH,0,0,0,0,0,0,0,20151220,20160514
I1NONUISA,0,0,0,0,0,0,0,20151220,20160514
I2 UIF,0,0,0,0,0,0,0,20151220,20160514
T2 UIMTH,0,0,0,0,0,0,0,20151220,20160514
ORANGE / GREEN SCH,0,0,0,0,0,0,0,20151220,20160514
Y3SU,0,0,0,0,0,0,0,20151220,20160514
GNX5 MF EV,0,0,0,0,0,0,0,20151220,20160514
GN8 BACKUP,0,0,0,0,0,0,0,20151220,20160514
SV1NONUISU,0,0,0,0,0,0,0,20151220,20160514
T3 NONUIMF EV,0,0,0,0,0,0,0,20151220,20160514
R4 MF,0,0,0,0,0,0,0,20151220,20160514
GR1 SCHMF,0,0,0,0,0,0,0,20151220,20160514
GNX1 SHOW WED,0,0,0,0,0,0,0,20151220,20160514
