service_id,date,exception_type
GN6 NOSCHMF,20151221,1
GN6 NOSCHMF,20151222,1
GN6 NOSCHMF,20151223,1
GN6 NOSCHMF,20151224,1
GN6 NOSCHMF,20151228,1
GN6 NOSCHMF,20151229,1
GN6 NOSCHMF,20151230,1
GN6 NOSCHMF,20151231,1
GN6 NOSCHMF,20160118,1
GN6 NOSCHMF,20160215,1
GN6 NOSCHMF,20160321,1
GN6 NOSCHMF,20160322,1
GN6 NOSCHMF,20160323,1
GN6 NOSCHMF,20160324,1
GN6 NOSCHMF,20160325,1
Y5 MF,20151221,1
Y5 MF,20151222,1
Y5 MF,20151223,1
Y5 MF,20151228,1
Y5 MF,20151229,1
Y5 MF,20151230,1
Y5 MF,20160104,1
Y5 MF,20160105,1
Y5 MF,20160106,1
Y5 MF,20160107,1
Y5 MF,20160108,1
Y5 MF,20160111,1
Y5 MF,20160112,1
Y5 MF,20160113,1
Y5 MF,20160114,1
Y5 MF,20160115,1
Y5 MF,20160118,1
Y5 MF,20160119,1
Y5 MF,20160120,1
Y5 MF,20160121,1
Y5 MF,20160122,1
Y5 MF,20160125,1
Y5 MF,20160126,1
Y5 MF,20160127,1
Y5 MF,20160128,1
Y5 MF,20160129,1
Y5 MF,20160201,1
Y5 MF,20160202,1
Y5 MF,20160203,1
Y5 MF,20160204,1
Y5 MF,20160205,1
Y5 MF,20160208,1
Y5 MF,20160209,1
Y5 MF,20160210,1
Y5 MF,20160211,1
Y5 MF,20160212,1
Y5 MF,20160215,1
Y5 MF,20160216,1
Y5 MF,20160217,1
Y5 MF,20160218,1
Y5 MF,20160219,1
Y5 MF,20160222,1
Y5 MF,20160223,1
Y5 MF,20160224,1
Y5 MF,20160225,1
Y5 MF,20160226,1
Y5 MF,20160229,1
Y5 MF,20160301,1
Y5 MF,20160302,1
Y5 MF,20160303,1
Y5 MF,20160304,1
Y5 MF,20160307,1
Y5 MF,20160308,1
Y5 MF,20160309,1
Y5 MF,20160310,1
Y5 MF,20160311,1
Y5 MF,20160314,1
Y5 MF,20160315,1
Y5 MF,20160316,1
Y5 MF,20160317,1
Y5 MF,20160318,1
Y5 MF,20160321,1
Y5 MF,20160322,1
Y5 MF,20160323,1
Y5 MF,20160324,1
Y5 MF,20160325,1
Y5 MF,20160328,1
Y5 MF,20160329,1
Y5 MF,20160330,1
Y5 MF,20160331,1
Y5 MF,20160401,1
Y5 MF,20160404,1
Y5 MF,20160405,1
Y5 MF,20160406,1
Y5 MF,20160407,1
Y5 MF,20160408,1
Y5 MF,20160411,1
Y5 MF,20160412,1
Y5 MF,20160413,1
Y5 MF,20160414,1
Y5 MF,20160415,1
Y5 MF,20160418,1
Y5 MF,20160419,1
Y5 MF,20160420,1
Y5 MF,20160421,1
Y5 MF,20160422,1
Y5 MF,20160425,1
Y5 MF,20160426,1
Y5 MF,20160427,1
Y5 MF,20160428,1
Y5 MF,20160429,1
Y5 MF,20160502,1
Y5 MF,20160503,1
Y5 MF,20160504,1
Y5 MF,20160505,1
Y5 MF,20160506,1
Y5 MF,20160509,1
Y5 MF,20160510,1
Y5 MF,20160511,1
Y5 MF,20160512,1
Y5 MF,20160513,1
R3 MF,20151221,1
R3 MF,20151222,1
R3 MF,20151223,1
R3 MF,20151224,1
R3 MF,20151228,1
R3 MF,20151229,1
R3 MF,20151230,1
R3 MF,20151231,1
R3 MF,20160104,1
R3 MF,20160105,1
R3 MF,20160106,1
R3 MF,20160107,1
R3 MF,20160108,1
R3 MF,20160111,1
R3 MF,20160112,1
R3 MF,20160113,1
R3 MF,20160114,1
R3 MF,20160115,1
R3 MF,20160118,1
R3 MF,20160119,1
R3 MF,20160120,1
R3 MF,20160121,1
