route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
RUBY,RUB1 MF,[@15.0.64600293@][1][1342035496975]/0__RUB1_MF,NORTH - AIRPORT & CUNNINGHAM,0,RUB1 MF,[@15.0.64600293@]17
RUBY,RUB1 MF,[@15.0.64600293@][1][1339519138016]/0__RUB1_MF,NORTH - AIRPORT & CUNNINGHAM,0,RUB1 MF,[@15.0.64600293@]1
RUBY,RUB1 MF,[@15.0.64600293@][2][1339519176813]/4__RUB1_MF,SOUTH - LINCOLN SQUARE,1,RUB1 MF,[@15.0.64600293@]2
RUBY,RUB1 MF,[@15.0.64600293@][1][1339519138016]/1__RUB1_MF,NORTH - AIRPORT & CUNNINGHAM,0,RUB1 MF,[@15.0.64600293@]1
RUBY,RUB1 MF,[@15.0.64600293@][2][1339519176813]/5__RUB1_MF,SOUTH - LINCOLN SQUARE,1,RUB1 MF,[@15.0.64600293@]2
RUBY,RUB1 MF,[@15.0.64600293@][1][1339519138016]/2__RUB1_MF,NORTH - AIRPORT & CUNNINGHAM,0,RUB1 MF,[@15.0.64600293@]1
RUBY,RUB1 MF,[@15.0.64600293@][2][1339519176813]/6__RUB1_MF,SOUTH - LINCOLN SQUARE,1,RUB1 MF,[@15.0.64600293@]2
RUBY,RUB1 MF,[@15.0.64600293@][1][1339519138016]/3__RUB1_MF,NORTH - AIRPORT & CUNNINGHAM,0,RUB1 MF,[@15.0.64600293@]1
RUBY,RUB1 MF,[@15.0.64600293@][2][1339519213751]/7__RUB1_MF,SOUTH - LINCOLN SQUARE,1,RUB1 MF,[@15.0.64600293@]2
LAVENDER ALT,SV4 SCHNOUIMF,[@2.0.84876422@][1455575336053]/62__SV4_SCHNOUIMF,SOUTH - STATE & GREEN,1,SV4 SCHNOUIMF,[@2.0.84876422@]LP1SCHOOLPO
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][4][1246896833000]/70__SV4_SCHNOUIMF,SOUTH - PAR,1,SV4 SCHNOUIMF,SILVER 120
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][3][1246896590515]/33__SV4_SCHNOUIMF,NORTH - LINCOLN SQUARE,0,SV4 SCHNOUIMF,SILVER 2
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][4][1246896833000]/71__SV4_SCHNOUIMF,SOUTH - PAR,1,SV4 SCHNOUIMF,SILVER 120
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][3][1246896590515]/35__SV4_SCHNOUIMF,NORTH - LINCOLN SQUARE,0,SV4 SCHNOUIMF,SILVER 2
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][4][1246896833000]/73__SV4_SCHNOUIMF,SOUTH - PAR,1,SV4 SCHNOUIMF,SILVER 120
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][3][1246896590515]/37__SV4_SCHNOUIMF,NORTH - LINCOLN SQUARE,0,SV4 SCHNOUIMF,SILVER 2
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][4][1246896833000]/75__SV4_SCHNOUIMF,SOUTH - PAR,1,SV4 SCHNOUIMF,SILVER 120
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][3][1246896590515]/39__SV4_SCHNOUIMF,NORTH - LINCOLN SQUARE,0,SV4 SCHNOUIMF,SILVER 2
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][4][1246896833000]/77__SV4_SCHNOUIMF,SOUTH - PAR,1,SV4 SCHNOUIMF,SILVER 120
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][3][1246896590515]/41__SV4_SCHNOUIMF,NORTH - LINCOLN SQUARE,0,SV4 SCHNOUIMF,SILVER 2
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][4][1246896833000]/79__SV4_SCHNOUIMF,SOUTH - PAR,1,SV4 SCHNOUIMF,SILVER 120
SILVER,SV4 SCHNOUIMF,[@12.0.42199629@][3][1246896590515]/43__SV4_SCHNOUIMF,NORTH - LINCOLN SQUARE,0,SV4 SCHNOUIMF,SILVER 2
GOLDHOPPER,SV4 SCHNOUIMF,[@7.0.41987615@][4][1246632518062]/9__SV4_SCHNOUIMF,WEST - GOLDHOPPER,1,SV4 SCHNOUIMF,GOLDHOPPER 1
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][3][1246639948750]/35__SV4_SCHNOUIMF,EAST - EASTERN & PERKINS,0,SV4 SCHNOUIMF,GOLD 89
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][4][1246652297343]/2__SV4_SCHNOUIMF,WEST - MATTIS & DEVONSHIRE,1,SV4 SCHNOUIMF,GOLD 16
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][3][1246639611484]/31__SV4_SCHNOUIMF,EAST - EASTERN & PERKINS,0,SV4 SCHNOUIMF,GOLD 423
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][4][1250540675453]/3__SV4_SCHNOUIMF,WEST - LOT E-14,1,SV4 SCHNOUIMF,GOLD 19
GOLDHOPPER,SV4 SCHNOUIMF,[@14.0.56289113@][4][1303767496742]/17__SV4_SCHNOUIMF,WEST - GOLDHOPPER,1,SV4 SCHNOUIMF,GOLDHOPPER 1
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][3][1246646721093]/5__SV4_SCHNOUIMF,EAST - RICHARDSON ESTATES,0,SV4 SCHNOUIMF,[@15.0.63191692@]58
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][4][1246654375687]/29__SV4_SCHNOUIMF,WEST - MATTIS & DEVONSHIRE,1,SV4 SCHNOUIMF,[@15.0.63191692@]369
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][3][1246644878453]/7__SV4_SCHNOUIMF,EAST - RICHARDSON ESTATES,0,SV4 SCHNOUIMF,[@15.0.63191692@]57
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][4][1246653985531]/25__SV4_SCHNOUIMF,WEST - MATTIS & DEVONSHIRE,1,SV4 SCHNOUIMF,[@15.0.63191692@]369
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][3][1246644878453]/10__SV4_SCHNOUIMF,EAST - RICHARDSON ESTATES,0,SV4 SCHNOUIMF,[@15.0.63191692@]57
GOLD,SV4 SCHNOUIMF,[@7.0.41203042@][4][1246653890468]/23__SV4_SCHNOUIMF,WEST - LOT E-14,1,SV4 SCHNOUIMF,[@15.0.63191692@]370
GOLDHOPPER,SV4 SCHNOUIMF,[@14.0.56289113@][4][1303767517328]/20__SV4_SCHNOUIMF,WEST - GOLDHOPPER,1,SV4 SCHNOUIMF,GOLDHOPPER 1
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][1][1342109289752]/6__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,[@14.0.57766396@]Y1SATPO
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][1][1338468687615]/3__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,[@14.0.57766396@]100NGRNWRT->
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][2][1338469240094]/8__Y5UISA,SOUTH - SAVOY,1,Y5UISA,[@14.0.57766396@]100S
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][1][1338414280664]/4__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,[@14.0.57766396@]100N
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][2][1338469240094]/13__Y5UISA,SOUTH - SAVOY,1,Y5UISA,[@14.0.57766396@]100S
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][1][1338414280664]/9__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,[@14.0.57766396@]100N
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][2][1338469240094]/18__Y5UISA,SOUTH - SAVOY,1,Y5UISA,[@14.0.57766396@]100S
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][1][1338414280664]/14__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,[@14.0.57766396@]100N
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][2][1338469240094]/23__Y5UISA,SOUTH - SAVOY,1,Y5UISA,[@14.0.57766396@]100S
YELLOW WEEKEND,Y5UISA,[@15.0.63192124@][1][1338414280664]/19__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,[@14.0.57766396@]100N
YELLOW EVENING,Y5UISA,[@15.0.63189138@][2][1340724348507]/0__Y5UISA,SOUTH - SAVOY,1,Y5UISA,100S
YELLOW EVENING,Y5UISA,[@15.0.63189138@][1][1338410252978]/17__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,100N
YELLOW EVENING,Y5UISA,[@15.0.63189138@][2][1338410220040]/8__Y5UISA,SOUTH - SAVOY,1,Y5UISA,100S
YELLOW EVENING,Y5UISA,[@15.0.63189138@][1][1338410253072]/22__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,100N
YELLOW EVENING,Y5UISA,[@15.0.63189138@][2][1338410220150]/13__Y5UISA,SOUTH - FIRST AND GREGORY,1,Y5UISA,100S->1STGRG
YELLOW LATE NIGHT,Y5UISA,[@7.0.38114521@][1][1214493410328]/22__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,100NLTNT->
YELLOW LATE NIGHT,Y5UISA,[@7.0.38114521@][2][1214494069937]/32__Y5UISA,SOUTH - E-14,1,Y5UISA,100SLTNT->
YELLOW LATE NIGHT,Y5UISA,[@7.0.38114521@][1][1214493809046]/24__Y5UISA,NORTH -  CHAMPAIGN WALMART,0,Y5UISA,100NLTNT->
YELLOW LATE NIGHT,Y5UISA,[@7.0.38114521@][2][1214494069937]/34__Y5UISA,SOUTH - E-14,1,Y5UISA,100SLTNT->
YELLOW LATE NIGHT,Y5UISA,[@7.0.38114521@][1][1214493849437]/26__Y5UISA,NORTH - TOWN CENTER & MORELAND,0,Y5UISA,100 LATE 5
GREY SUNDAY,GN6SU,[@15.0.68512361@][3][1372264068075]/2__GN6SU,EAST - LSQ - URBANA WALMART,0,GN6SU,GN4 SU PO
GREY SUNDAY,GN6SU,GN1SUN02__GN6SU,EAST - LSQ - URBANA WALMART,0,GN6SU,70E-WKND
GREY SUNDAY,GN6SU,GN1SUN03__GN6SU,WEST - COUNTRY FAIR,1,GN6SU,70W-WKND
GREEN WEEKEND,GN6SU,[@7.0.41202550@][3][1248366605875]/23__GN6SU,EAST - ORCHARD DOWNS,0,GN6SU,50E->PC
GREEN WEEKEND,GN6SU,[@7.0.41202550@][4][1248365375156]/6__GN6SU,WEST - COUNTRY FAIR ,1,GN6SU,[@15.0.68513015@]219
GREY SUNDAY,GN6SU,GN2SUN08__GN6SU,EAST - LSQ - URBANA WALMART,0,GN6SU,70E-WKND
GREY SUNDAY,GN6SU,GN2SUN09__GN6SU,WEST - COUNTRY FAIR,1,GN6SU,70W-WKND
GREEN WEEKEND,GN6SU,[@7.0.41202550@][3][1248366605875]/30__GN6SU,EAST - ORCHARD DOWNS,0,GN6SU,50E->PC
GREEN WEEKEND,GN6SU,[@7.0.41202550@][4][1248365375156]/13__GN6SU,WEST - COUNTRY FAIR ,1,GN6SU,[@15.0.68513015@]219
GREY SUNDAY,GN6SU,GN4SUN13__GN6SU,EAST - LSQ - URBANA WALMART,0,GN6SU,70E-WKND
GREY SUNDAY,GN6SU,GN4SUN14__GN6SU,WEST - COUNTRY FAIR,1,GN6SU,70W-WKND
GREEN WEEKEND,GN6SU,[@15.0.73006437@][31][1403812727461]/0__GN6SU,EAST - LINCOLN SQUARE,0,GN6SU,50E->LS
ILLINI EVENING,I8UISU,[@14.0.56288498@][2][1313598815501]/11__I8UISU,SOUTH - PAR/FAR,1,I8UISU,[@14.0.56288498@]24
ILLINI EVENING,I8UISU,[@7.0.41950648@][1][1246908186625]/186__I8UISU,NORTH - NORTH LINCOLN,0,I8UISU,220N ILLINI 10
ILLINI EVENING,I8UISU,[@7.0.41950648@][2][1246908093812]/135__I8UISU,SOUTH - PAR/FAR,1,I8UISU,220S ILLINI 20
ILLINI EVENING,I8UISU,[@7.0.41950648@][1][1246908186625]/194__I8UISU,NORTH - NORTH LINCOLN,0,I8UISU,220N ILLINI 10
ILLINI EVENING,I8UISU,[@7.0.41950648@][2][1246908093812]/143__I8UISU,SOUTH - PAR/FAR,1,I8UISU,220S ILLINI 20
ILLINI EVENING,I8UISU,[@7.0.41950648@][1][1246908186625]/202__I8UISU,NORTH - NORTH LINCOLN,0,I8UISU,220N ILLINI 10
ILLINI EVENING,I8UISU,[@7.0.41950648@][2][1246908093812]/151__I8UISU,SOUTH - PAR/FAR,1,I8UISU,220S ILLINI 20
ILLINI EVENING,I8UISU,[@7.0.41950648@][1][1246908186625]/210__I8UISU,NORTH - NORTH LINCOLN,0,I8UISU,220N ILLINI 10
ILLINI EVENING,I8UISU,[@7.0.41950648@][2][1246908093812]/159__I8UISU,SOUTH - PAR/FAR,1,I8UISU,220S ILLINI 20
ILLINI EVENING,I8UISU,[@7.0.41950648@][1][1246908186625]/218__I8UISU,NORTH - NORTH LINCOLN,0,I8UISU,220N ILLINI 10
ILLINI EVENING,I8UISU,[@7.0.41950648@][2][1246908093812]/167__I8UISU,SOUTH - PAR/FAR,1,I8UISU,220S ILLINI 20
ILLINI EVENING,I8UISU,[@7.0.41950648@][1][1246908186625]/226__I8UISU,NORTH - NORTH LINCOLN,0,I8UISU,220N ILLINI 10
ILLINI EVENING,I8UISU,[@7.0.41950648@][2][1246908093812]/175__I8UISU,SOUTH - PAR/FAR,1,I8UISU,220S ILLINI 20
ILLINI EVENING,I8UISU,[@7.0.41950648@][1][1246908186625]/234__I8UISU,NORTH - NORTH LINCOLN,0,I8UISU,220N ILLINI 10
BRONZE,T1 UIMF,[@7.0.41201636@][4][1248385284015]/0__T1_UIMF,WEST - ORCHARD DOWNS,1,T1 UIMF,BRONZE 6
BRONZE,T1 UIMF,[@7.0.41201636@][4][1243606179171]/0__T1_UIMF,WEST - ORCHARD DOWNS,1,T1 UIMF,8W BRONZE 5
TEAL,T1 UIMF,[@14.0.51708725@][4][1284043976593]/0__T1_UIMF,WEST - ILLINOIS TERMINAL,1,T1 UIMF,TEAL 25
TEAL,T1 UIMF,[@14.0.51708725@][4][1284043990640]/1__T1_UIMF,WEST - ILLINOIS TERMINAL,1,T1 UIMF,TEAL 27
TEAL,T1 UIMF,[@7.0.41893871@][3][1243541322000]/70__T1_UIMF,EAST - ORCHARD DOWNS,0,T1 UIMF,12E TEAL 13
TEAL,T1 UIMF,[@7.0.41893871@][4][1243540790859]/1__T1_UIMF,WEST - ILLINOIS TERMINAL,1,T1 UIMF,12W TEAL 12
TEAL,T1 UIMF,[@7.0.41893871@][3][1243541396687]/71__T1_UIMF,EAST - ORCHARD DOWNS,0,T1 UIMF,12E TEAL 13
